"id","ts","text","country","sentiment"
"330043883738234880","2013-05-02 19:39:28","'Iron Man 3' Crushes Opening Day Records In China: Iron Man 3 has continued its record-breaking run at the... http://t.co/9CwF31E8Ez","","1"
"330043886577799169","2013-05-02 19:39:29","Iron Man 3 tonight! Woo :)","UNITED STATES","2"
"330043887055937536","2013-05-02 19:39:29","Preciso ver Iron Man 3 todos comentando e eu boiando kk","CHILE","1"
"330043888788197376","2013-05-02 19:39:29","'Iron Man 3' Crushes Opening Day Records In China: Iron Man 3 has continued its record-breaking run at the... http://t.co/sAX3MsJjlE","","1"
"330043889589288960","2013-05-02 19:39:29","Iron man 3 was awesome =)","MOROCCO","2"
"330043890440749057","2013-05-02 19:39:30","RT @HannahMenzies: Featuring @mattfraction on The Beat today from Iron Man 50th panel!  http://t.co/qHNJMKjNl9","UNITED STATES","1"
"330043896786726913","2013-05-02 19:39:31","RT @puthatasstowork: ce soir, go to look Iron Man 3! :D","","1"
"330043897516531714","2013-05-02 19:39:31","Iron man 3 with the homies! pfernando805 sglende lzepeda75 http://t.co/kD09Idp0Iw","UNITED STATES","1"
"330043897847877632","2013-05-02 19:39:31","'Iron Man 3' Crushes Opening Day Records In China: Iron Man 3 has continued its record-breaking run at the... http://t.co/Ss6SyvX50m","","1"
"330043899097784320","2013-05-02 19:39:32","Al final de Iron Man 3, Tony Stark despierta en un hospital sin piernas y se da cuenta de que nunca fue millonario ni superhéroe.","NETHERLANDS","0"
"330043900410601472","2013-05-02 19:39:32","'Iron Man 3' Crushes Opening Day Records In China: Iron Man 3 has continued its record-breaking run at the... http://t.co/jVjgcTRcu9","THAILAND","1"
"330043901970874370","2013-05-02 19:39:32","I realllllly want to go see iron man 3 tonight!!!!! But me aguanto for tmrw :(. Lol","UNITED STATES","2"
"330043902872657922","2013-05-02 19:39:33","'Iron Man 3' Crushes Opening Day Records In China: Iron Man 3 has continued its record-breaking run at the... http://t.co/36Vtp9j7Rv","","1"
"330043906072924160","2013-05-02 19:39:33","Not cool, Amazon's Recommended Items. I thought my looking up that Gwyneth Paltrow cookbook was between you and me. Stop being such a narc.","UNITED STATES","2"
"330043907192811520","2013-05-02 19:39:34","'Iron Man 3' Crushes Opening Day Records In China: Iron Man 3 has continued its record-breaking run at the... http://t.co/7c157od22a","INDONESIA","1"
"330043907306053632","2013-05-02 19:39:34","@mabtorr seccion de espectaculos de La nacion, pero este articulo salio el jueves pasado! Es sobre Iron Man 3, pero a un costadito..","ARGENTINA","1"
"330043907540926465","2013-05-02 19:39:34","Can everyone just take a second to recognize and appreciate how fucking ecstatic I am to see Iron Man 3 tonight 😬😬🙏","UNITED STATES","2"
"330043909193494528","2013-05-02 19:39:34","'Iron Man 3' Crushes Opening Day Records In China: Iron Man 3 has continued its record-breaking run at the... http://t.co/Xz3en7jz9s","THAILAND","1"
"330043911726850049","2013-05-02 19:39:35","'Iron Man 3' Crushes Opening Day Records In China http://t.co/nXmcHDAUto","","1"
"330043911940751360","2013-05-02 19:39:35","RT @chaandbeti: IRON MAN 3 IS THE BEST EVER. IT IS BETTER THAN PREVIOUS IRON MAN MOVIES AND IT IS BETTER THAN AVENGERS. GO WATCH IT.","PAKISTAN","2"
"330043911940763648","2013-05-02 19:39:35","Iron Man 3 tonight!","UNITED STATES","1"
"330043912297250816","2013-05-02 19:39:35","'Iron Man 3' Crushes Opening Day Records In China: Iron Man 3 has continued its record-breaking run at the... http://t.co/plV7GjytNl","IRAQ","1"
"330043915271028737","2013-05-02 19:39:35","'Iron Man 3' Crushes Opening Day Records In China: Iron Man 3 has continued its record-breaking run at the... http://t.co/LeX7EODMgV","NETHERLANDS","1"
"330043916357345280","2013-05-02 19:39:36","Must see Iron Man 3 tonight","UNITED STATES","1"
"330043916923580416","2013-05-02 19:39:36","Paltrow aconseja transformar la ira en sexo oral: La actriz Gwyneth Paltrow le dijo a la conductora Chelsea Ha... http://t.co/slQc8o2KKm","MEXICO","1"
"330043916999065600","2013-05-02 19:39:36","Iron man 3!","UNITED ARAB EMIRATES","1"
"330043917686947840","2013-05-02 19:39:36","'Iron Man 3' Crushes Opening Day Records In China: Iron Man 3 has continued its record-breaking run at the... http://t.co/3qo5RtBM9q","UNITED STATES","1"
"330043919977046017","2013-05-02 19:39:37","'Iron Man 3' Crushes Opening Day Records In China: Iron Man 3 has continued its record-breaking run at the... http://t.co/XFL4MU1mja","UNITED STATES","1"
"330043921570873344","2013-05-02 19:39:37","Primera imagen de Ben Kingsley en El Juego de Ender: Llega la primera imagen oficial del actor Ben Kingsley en... http://t.co/UrpTCbUvex","CHILE","1"
"330043922241953792","2013-05-02 19:39:37","""@ViaEmilee: I want to see iron man 3 😭😭""","","2"
"330043922577518592","2013-05-02 19:39:37","I need a haircut! Wearing a hat until then. Iron Man 3 tonight. http://t.co/Hw90T34zqS","","0"
"330043924636901376","2013-05-02 19:39:38","'Iron Man 3' Crushes Opening Day Records In China: Iron Man 3 has continued its record-breaking run at the... http://t.co/dpKkGN0LPx","UNITED KINGDOM","1"
"330043924896968707","2013-05-02 19:39:38","http://t.co/xcub4LpwBp #AntMan info! @edgarwright is an awesome director and will bring some fast paced brilliance to it guaranteed!","MOROCCO","2"
"330043925844865024","2013-05-02 19:39:38","Primera imagen de Ben Kingsley en El Juego de Ender: Llega la primera imagen oficial del actor Ben Kingsley en... http://t.co/AqCZxiOSPq","CHILE","1"
"330043926478213120","2013-05-02 19:39:38","omg gwenyth paltrow dies in the new iron man 3 omg","CANADA","1"
"330043927061229568","2013-05-02 19:39:39","Tony stark http://t.co/xu9AJbIN1M","UNITED STATES","0"
